diff,distance,cos,sin,value
898329,19.30868069,-0.979509006,-0.201400365,121
898324,19.30868069,-0.979509006,-0.201400365,121
898319,19.30868069,-0.979509006,-0.201400365,125
898314,19.30849783,-0.979508624,-0.201402225,127
898309,19.30847359,-0.979510483,-0.201393181,124
898304,19.30829072,-0.979510101,-0.201395041,118
898299,19.30829072,-0.979510101,-0.201395041,114
898295,19.30829072,-0.979510101,-0.201395041,106
898290,19.30831496,-0.979508241,-0.201404084,104
898285,19.30831496,-0.979508241,-0.201404084,104
898280,19.3083392,-0.979506382,-0.201413128,105
898275,19.3083392,-0.979506382,-0.201413128,102
898270,19.3083392,-0.979506382,-0.201413128,95
898265,19.3083392,-0.979506382,-0.201413128,92
898260,19.3083392,-0.979506382,-0.201413128,91
898255,19.3083392,-0.979506382,-0.201413128,87
898250,19.30815633,-0.979505999,-0.201414987,87
898246,19.30815633,-0.979505999,-0.201414987,95
898241,19.30831496,-0.979508241,-0.201404084,94
898236,19.30831496,-0.979508241,-0.201404084,95
898231,19.30831496,-0.979508241,-0.201404084,91
898226,19.30831496,-0.979508241,-0.201404084,93
898221,19.30810786,-0.979509719,-0.2013969,87
898216,19.30810786,-0.979509719,-0.2013969,90
898211,19.30829072,-0.979510101,-0.201395041,90
898206,19.30826649,-0.97951196,-0.201385997,95
898201,19.30808362,-0.979511578,-0.201387856,94
898197,19.30805939,-0.979513437,-0.201378813,97
898192,19.30805939,-0.979513437,-0.201378813,99
898187,19.30803515,-0.979515297,-0.201369769,97
898182,19.30803515,-0.979515297,-0.201369769,102
898177,19.30801092,-0.979517156,-0.201360725,109
898172,19.30819379,-0.979517538,-0.201358866,111
898167,19.30819379,-0.979517538,-0.201358866,113
898162,19.30819379,-0.979517538,-0.201358866,116
898157,19.30819379,-0.979517538,-0.201358866,113
898152,19.30819379,-0.979517538,-0.201358866,118
898148,19.30819379,-0.979517538,-0.201358866,117
898143,19.30837665,-0.97951792,-0.201357007,116
898138,19.30837665,-0.97951792,-0.201357007,114
898133,19.30855952,-0.979518302,-0.201355148,108
898128,19.30853529,-0.979520161,-0.201346104,110
898123,19.30871815,-0.979520543,-0.201344245,105
898118,19.30871815,-0.979520543,-0.201344245,102
898113,19.30871815,-0.979520543,-0.201344245,98
898108,19.30869392,-0.979522402,-0.201335202,93
898103,19.30871815,-0.979520543,-0.201344245,86
898099,19.30871815,-0.979520543,-0.201344245,86
898094,19.30871815,-0.979520543,-0.201344245,84
898089,19.30871815,-0.979520543,-0.201344245,81
898084,19.30871815,-0.979520543,-0.201344245,79
898079,19.30871815,-0.979520543,-0.201344245,84
898074,19.30871815,-0.979520543,-0.201344245,90
898069,19.30871815,-0.979520543,-0.201344245,87
898064,19.30853529,-0.979520161,-0.201346104,92
898059,19.30853529,-0.979520161,-0.201346104,89
898054,19.30853529,-0.979520161,-0.201346104,92
898050,19.30853529,-0.979520161,-0.201346104,94
898045,19.30851106,-0.97952202,-0.20133706,98
898040,19.30853529,-0.979520161,-0.201346104,98
